distance,length,replicate,num_taxa,alpha,model,true_identity_mean,true_identity_min,true_identity_max,true_identity_std,true_gap_mean,true_aligned_length,mafft_identity_mean,mafft_identity_min,mafft_identity_max,mafft_identity_std,mafft_gap_mean,mafft_aligned_length,psa_identity_mean,psa_identity_min,psa_identity_max,psa_identity_std
0.1,100,1,32,1.0,LG+G4,0.9318501336042577,0.86,1.0,0.028379940240663436,0.107421875,112,0.9318501336042577,0.86,1.0,0.028379940240663436,0.107421875,112,0.9403615226565448,0.8888888888888888,1.0,0.029145143191915652
0.1,100,2,32,1.0,LG+G4,0.9232113237558978,0.8229166666666666,1.0,0.034661210887136834,0.013923267326732673,101,0.9232113237558978,0.8229166666666666,1.0,0.034661210887136834,0.013923267326732673,101,0.9203734715576821,0.8787878787878788,0.98,0.02793236082756721
0.1,100,3,32,1.0,LG+G4,0.9124632791674437,0.8210526315789474,1.0,0.03506612916131885,0.08674065420560746,107,0.9124443155775365,0.8210526315789474,1.0,0.03504836320258052,0.078125,106,0.9218556397306396,0.8383838383838383,0.99,0.04049869269246708
0.1,100,4,32,1.0,LG+G4,0.9143669358644289,0.801980198019802,1.0,0.04393458865480389,0.020526960784313725,102,0.9121787901452514,0.801980198019802,1.0,0.044009835340321615,0.020526960784313725,102,0.9161500150731149,0.85,0.99,0.04164873814943651
0.1,100,5,32,1.0,LG+G4,0.9315071691022515,0.8333333333333334,1.0,0.03830513223369971,0.0571875,100,0.9244118707028892,0.8205128205128205,1.0,0.038802402972865004,0.0571875,100,0.9277926493677369,0.875,0.9759036144578314,0.03281970148896517
0.1,100,6,32,1.0,LG+G4,0.8941225535238965,0.7628865979381443,1.0,0.04488146065168398,0.1859504132231405,121,0.8880090431051672,0.7628865979381443,1.0,0.046512393267049104,0.15811965811965814,117,0.8906435653642982,0.8241758241758241,1.0,0.043543967381839646
0.1,100,7,32,1.0,LG+G4,0.9386222016650336,0.8241758241758241,1.0,0.0288470888341599,0.4632056451612903,186,0.938275290573835,0.8241758241758241,1.0,0.029215712628995975,0.4161184210526315,171,0.9339507917468804,0.8804347826086957,0.975,0.03092927555158861
0.1,100,8,32,1.0,LG+G4,0.9351440954507638,0.82,1.0,0.03427436177928731,0.4503378378378379,185,0.9348399888273411,0.82,1.0,0.034253453388692484,0.44735054347826086,184,0.9259912468483897,0.8877551020408163,0.98,0.026797041341478336
0.1,100,9,32,1.0,LG+G4,0.9390755807573743,0.8676470588235294,1.0,0.026688700495672072,0.04548267326732673,101,0.9374382147046856,0.8676470588235294,1.0,0.025412146985652046,0.04548267326732673,101,0.9501501501501503,0.9191919191919192,1.0,0.02093986245215666
0.1,100,10,32,1.0,LG+G4,0.9206557120920851,0.8223684210526315,1.0,0.0373666429105388,0.4767889492753623,276,0.8624847916916485,0.5763888888888888,1.0,0.12520453184492392,0.33453341013824883,217,0.9194343904306236,0.6875,1.0,0.07304562094380077
