experiment_id,experiment_name,model,dist_model,num_taxa,distance,length,alpha,ics_prop,replicate,pipeline,rf_distance,nrf_distance,best_model_bic,gamma_alpha
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,40,MSA+ML,4,0.068966,LG+G4,1.0053
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,41,MSA+ML,2,0.034483,LG+G4,0.937
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,42,MSA+ML,0,0.0,LG+G4,0.8148
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,43,MSA+ML,2,0.034483,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,44,MSA+ML,2,0.034483,LG+G4,0.8087
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,45,MSA+ML,2,0.034483,LG+G4,1.0689
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,46,MSA+ML,6,0.103448,LG+G4,1.0468
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,47,MSA+ML,2,0.034483,LG+G4,0.9857
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,48,MSA+ML,6,0.103448,LG+G4,1.0015
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,49,MSA+ML,4,0.068966,LG+G4,1.0622
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,4,MSA+ML,2,0.034483,LG+G4,0.9765
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,50,MSA+ML,2,0.034483,LG+I,
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,51,MSA+ML,4,0.068966,LG+G4,1.0012
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,52,MSA+ML,0,0.0,LG+G4,1.1771
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,53,MSA+ML,4,0.068966,LG+G4,1.2177
Exp1_Default,Exp1: D x L Base (LG+G4),LG+G4,poisson,32,0.1,1000,1.0,0.0,54,MSA+ML,6,0.103448,LG+G4,0.7833
