dataset,name,hogs_evaluated,mean_sss,median_sss,min_sss,max_sss,mean_identity_pct,median_identity_pct,min_identity_pct,max_identity_pct,hogs_sss_le_0_10,pct_sss_le_0_10
act,Actinobacteria,100,0.4262903707380859,0.404413021189337,0.0,1.0,53.25907965211832,48.33999066157494,19.130434782608695,100.0,1,1.0
amn,Amniota,100,0.7370803008965682,0.7687751931936617,0.0,1.0,79.55167780953886,83.37377892030848,24.58410351201479,100.0,0,0.0
bac,Bacteria,100,0.30697723198836707,0.24061589571653005,0.0,1.0,42.602250475867834,36.89360530878975,14.925373134328357,100.0,8,8.0
euk,Eukaryota,100,0.544786556390611,0.5362275277221582,0.0,1.0,63.43277957594524,60.5713392666195,19.724770642201836,100.0,0,0.0
