MURRD	886377	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 117743 (class), 200644 (order), 49546 (family), 444459 (genus), 111501 (species), 886377 (leaf)
PHOSB	667015	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 200643 (class), 171549 (order), 815 (family), 909656 (genus), 376805 (species), 667015 (leaf)
CYCMS	880070	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 768503 (class), 768507 (order), 563798 (family), 68288 (genus), 104 (species), 880070 (leaf)
NIAKG	700598	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 1853228 (class), 1853229 (order), 563835 (family), 354354 (genus), 354356 (species), 700598 (leaf)
DYAFD	471854	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 768503 (class), 768507 (order), 2896860 (family), 120831 (genus), 94254 (species), 471854 (leaf)
ORNRL	867902	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 117743 (class), 200644 (order), 2762318 (family), 28250 (genus), 28251 (species), 867902 (leaf)
CHIPD	485918	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 1853228 (class), 1853229 (order), 563835 (family), 79328 (genus), 79329 (species), 485918 (leaf)
ROSEK	279360	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 768503 (class), 768507 (order), 2762306 (family), 290180 (genus), 279360 (leaf)
LACS5	983544	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 117743 (class), 200644 (order), 49546 (family), 291183 (genus), 2647285 (no rank), 983544 (leaf)
BACFR	295405	131567 (no rank), 2 (domain), 3379134 (kingdom), 1783270 (clade), 68336 (clade), 976 (phylum), 200643 (class), 171549 (order), 815 (family), 816 (genus), 817 (species), 295405 (leaf)
WOLSU	273121	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 72293 (family), 843 (genus), 844 (species), 273121 (leaf)
CAMC1	360104	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 72294 (family), 194 (genus), 199 (species), 360104 (leaf)
HELCP	1172562	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 72293 (family), 209 (genus), 213 (species), 1172562 (leaf)
SULKY	709032	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2771471 (family), 286130 (genus), 148813 (species), 709032 (leaf)
SULBS	760154	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2932623 (family), 57665 (genus), 44674 (species), 760154 (leaf)
SULAO	563040	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2771471 (family), 202746 (genus), 202747 (species), 563040 (leaf)
NITSE	749222	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2771472 (family), 269260 (genus), 269261 (species), 749222 (leaf)
ALIB4	367737	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2808963 (family), 2321111 (genus), 28197 (species), 367737 (leaf)
ARCNC	572480	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2808963 (family), 28196 (genus), 28199 (species), 572480 (leaf)
SULD5	525898	131567 (no rank), 2 (domain), 3379134 (kingdom), 29547 (phylum), 3031852 (class), 213849 (order), 2932623 (family), 57665 (genus), 65553 (species), 525898 (leaf)
