GORGO	9595	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9592 (genus), 9593 (species), 9595 (leaf)
TRIVA	412133	131567 (no rank), 2759 (domain), 2611341 (clade), 5719 (phylum), 37104 (order), 181550 (family), 5721 (genus), 5722 (species), 412133 (leaf)
GIAIC	184922	131567 (no rank), 2759 (domain), 2611341 (clade), 207245 (phylum), 5738 (order), 5739 (family), 68459 (subfamily), 5740 (genus), 5741 (species), 184922 (leaf)
BRAFL	7739	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 7735 (subphylum), 2682552 (class), 2682553 (order), 7736 (family), 7737 (genus), 7739 (leaf)
IXOSC	6945	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33317 (clade), 1206794 (clade), 88770 (clade), 6656 (phylum), 6843 (subphylum), 6854 (class), 6933 (subclass), 6934 (superorder), 6935 (order), 297308 (superfamily), 6939 (family), 426442 (subfamily), 6944 (genus), 6945 (leaf)
NEMVE	45351	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 6073 (phylum), 6101 (class), 6102 (subclass), 6103 (order), 45349 (family), 45350 (genus), 45351 (leaf)
NEUCR	367110	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 715989 (clade), 147550 (class), 222544 (subclass), 5139 (order), 5148 (family), 5140 (genus), 5141 (species), 367110 (leaf)
CAEEL	6239	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33317 (clade), 1206794 (clade), 6231 (phylum), 119089 (class), 6236 (order), 2301116 (suborder), 2301119 (infraorder), 55879 (superfamily), 6243 (family), 55885 (subfamily), 6237 (genus), 6239 (leaf)
CRYNJ	214684	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 5204 (phylum), 5302 (subphylum), 155616 (class), 5234 (order), 1884633 (family), 5206 (genus), 1897064 (no rank), 5207 (species), 40410 (varietas), 214684 (leaf)
DICDI	44689	131567 (no rank), 2759 (domain), 554915 (clade), 2605435 (phylum), 142796 (class), 33083 (clade), 2058949 (order), 2058185 (family), 5782 (genus), 44689 (leaf)
PANTR	9598	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9596 (genus), 9598 (leaf)
MONDO	13616	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9263 (clade), 38605 (order), 9265 (family), 126287 (subfamily), 13615 (genus), 13616 (leaf)
YEAST	559292	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147537 (subphylum), 4891 (class), 4892 (order), 4893 (family), 4930 (genus), 4932 (species), 559292 (leaf)
SCHPO	284812	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 451866 (subphylum), 147554 (class), 34346 (order), 4894 (family), 4895 (genus), 4896 (species), 284812 (leaf)
RATNO	10116	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314146 (superorder), 314147 (clade), 9989 (order), 1963758 (suborder), 337687 (clade), 10066 (family), 39107 (subfamily), 10114 (genus), 10116 (leaf)
ASPFU	330879	131567 (no rank), 2759 (domain), 33154 (clade), 4751 (kingdom), 451864 (subkingdom), 4890 (phylum), 716545 (clade), 147538 (subphylum), 716546 (clade), 147545 (class), 451871 (subclass), 5042 (order), 1131492 (family), 5052 (genus), 2720872 (subgenus), 746128 (species), 330879 (leaf)
PHYRM	164328	131567 (no rank), 2759 (domain), 2698737 (clade), 33634 (clade), 4762 (phylum), 4776 (order), 4777 (family), 4783 (genus), 164328 (leaf)
HUMAN	9606	131567 (no rank), 2759 (domain), 33154 (clade), 33208 (kingdom), 6072 (clade), 33213 (clade), 33511 (clade), 7711 (phylum), 89593 (subphylum), 7742 (clade), 7776 (clade), 117570 (clade), 117571 (clade), 8287 (superclass), 1338369 (clade), 32523 (clade), 32524 (clade), 40674 (class), 32525 (clade), 9347 (clade), 1437010 (clade), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus), 9606 (leaf)
