MYCBO	1048245	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus), 77643 (no rank), 78331 (species), 1048245 (leaf)
LENAE	1800	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus), 1800 (leaf)
ACTM4	1768	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus), 1768 (species), 557599 (leaf)
CELGA	561304	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus), 1769 (species), 561304 (leaf)
CORDL	246196	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus), 1772 (species), 246196 (leaf)
RHOH1	875328	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1073531 (genus), 875328 (leaf)
STRCO	29313	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus), 29313 (leaf)
AMYMS	336982	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus), 77643 (no rank), 1773 (species), 336982 (leaf)
MYCCU	479431	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 1643684 (order), 85031 (family), 53460 (genus), 53461 (species), 479431 (leaf)
ACTMD	446468	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 83676 (family), 2013 (genus), 2014 (species), 568208 (subspecies), 446468 (leaf)
CELFA	2045	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85009 (order), 85015 (family), 2044 (genus), 2045 (leaf)
ECOD1	452863	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 1268 (family), 1742993 (genus), 85085 (species), 452863 (leaf)
CORDJ	234621	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 85025 (family), 1827 (genus), 2840174 (no rank), 1833 (species), 234621 (leaf)
BRELN	685727	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 85025 (family), 2979332 (genus), 43767 (species), 685727 (leaf)
PSECP	405948	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 1835 (genus), 1836 (species), 405948 (leaf)
MYCTF	100226	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85011 (order), 2062 (family), 1883 (genus), 1477431 (no rank), 1902 (species), 100226 (leaf)
MYCBT	1907	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85011 (order), 2062 (family), 1883 (genus), 1907 (leaf)
MYCS2	1915	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85011 (order), 2062 (family), 1883 (genus), 1915 (leaf)
NOCDD	465543	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85011 (order), 2062 (family), 1883 (genus), 2593676 (no rank), 465543 (leaf)
CORD3	680198	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85011 (order), 2062 (family), 1883 (genus), 1930 (species), 680198 (leaf)
